"station","long","lat","FE","scaled_FE","scaled_FE_layered","round.FE","round.scaled_FE"
"Columbus Circle / Union Station",-77.0049146,38.8970265,1.23115792475024,3.92468335497851,4,1.231,3.925
"Connecticut Ave & R St NW",-77.0456474,38.9126626,0.478370401197217,1.00740316686732,2,0.478,1.007
"Constitution Ave & 2nd St NW/DOL",-77.0139403,38.8922777,0.471666117659699,0.981422032845374,1,0.472,0.981
"Convention Center / 7th & M St NW",-77.022264,38.9057197,0.473163958997207,0.987226622749073,1,0.473,0.987
"Eastern Market / 7th & North Carolina Ave SE",-76.996806,38.8869517,0.469930399113368,0.974695596541742,1,0.47,0.975
"Eastern Market Metro / Pennsylvania Ave & 8th St SE",-76.9952624,38.8840555,0.990526412069717,2.99216319143377,3,0.991,2.992
"Eckington Pl & Q St NE",-77.0046117,38.9106313,0.732093592081063,1.99065755787566,2,0.732,1.991
"Henry Bacon Dr & Lincoln Memorial Circle NW",-77.0493768,38.8905404,0.795564072623931,2.23662493860971,3,0.796,2.237
"Jefferson Dr & 14th St SW",-77.0324505,38.8885496,0.990250228154118,2.99109289491577,3,0.99,2.991
"Jefferson Memorial",-77.0365505950692,38.8814182,0.498195763173441,1.0842324631904,2,0.498,1.084
"Lamont & Mt Pleasant NW",-77.0387453,38.9319014,0.495377818259064,1.07331207116384,2,0.495,1.073
"Lincoln Memorial",-77.0501719731407,38.88921215,1.06090881805972,3.26491638162633,4,1.061,3.265
"Lincoln Park / 13th & East Capitol St NE",-76.988355,38.8904607,0.423350399116175,0.794183955603979,1,0.423,0.794
"M St & Pennsylvania Ave NW",-77.0568591,38.9051123,0.686977836605752,1.81582030898158,2,0.687,1.816
"Maine Ave & 7th St SW",-77.02303,38.8787388,0.590983524887007,1.44381320872211,2,0.591,1.444
"Maine Ave & 9th St SW",-77.0251749,38.8804205,0.630931341296018,1.59862312483001,2,0.631,1.599
"Massachusetts Ave & Dupont Circle NW",-77.0456564,38.9108169,0.970532272945062,2.91467983242245,3,0.971,2.915
"Metro Center / 12th & G St NW",-77.027869,38.8983637,0.520188238188192,1.16945998043889,2,0.52,1.169
"New Hampshire Ave & 24th St NW",-77.0511457,38.9017138,0.578160717998101,1.39412093922697,2,0.578,1.394
"New Hampshire Ave & T St NW",-77.03818,38.9155397,1.25059295568045,4,4,1.251,4
"New Hampshire Ave & Ward Pl NW",-77.0473178,38.9057158,0.820936915736086,2.33495240846173,3,0.821,2.335
"New Jersey Ave & F St NW",-77.0116183,38.8971158,0.671065702745709,1.75415595960265,2,0.671,1.754
"New York Ave & 15th St NW",-77.0333529,38.8990364,0.274428278800638,0.217065528989367,1,0.274,0.217
"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",-77.0465583,38.8841284,0.218415756355055,0,1,0.218,0
"Park Rd & Holmead Pl NW",-77.0315137,38.9308232,0.385755791266741,0.648493437061211,1,0.386,0.648
"Potomac & M St NW",-77.0651513,38.9053758,0.351524710332503,0.515837606428215,1,0.352,0.516
"Rhode Island & Connecticut Ave NW",-77.0398043,38.9060038,0.350376290943852,0.511387132655294,1,0.35,0.511
"Smithsonian-National Mall / Jefferson Dr & 12th St SW",-77.0285632,38.8887736,0.922819256188345,2.72977740757563,3,0.923,2.73
"Thomas Circle",-77.0319456053192,38.9056377,0.822513223884988,2.34106108108086,3,0.823,2.341
"Vermont Ave & I St NW",-77.0343876,38.9011279,0.409075171485657,0.7388631148032,1,0.409,0.739
"Washington & Independence Ave SW/HHS",-77.0143853588913,38.88662975,0.348761048496606,0.505127577810249,1,0.349,0.505
"Wisconsin Ave & O St NW",-77.0635883,38.9084978,0.372601764173384,0.59751758872062,1,0.373,0.598
"1st & I St SE",-77.0029576,38.8792761,0.88977329832451,2.601714288625,3,0.89,2.602
